datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,stations,name,sunrise,sunset,conditions,description,icon
2007-11-11 00:00:00.000000000,84.3,75.3,80.4,91.1,75.3,83.0,71.3,74.5,,0.0,0.0,,,,,6.9,270.2,1010.0,36.2,4.1,,,,,0.04,41978099999.0,Chittagong,2007-11-11T06:02:14,2007-11-11T17:10:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-11-11 02:36:31.304347826,84.49565217391304,75.3,80.5195652173913,91.2086956521739,75.3,83.1413043478261,71.24565217391304,74.08695652173913,,0.0,0.0,,,,,7.660869565217392,275.5804347826087,1009.9673913043479,36.06956521739131,4.056521739130434,,,,,0.04434782608695652,41978099999.0,Chittagong,2007-11-11T06:02:14,2007-11-11T17:10:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-11-11 05:13:02.608695652,84.69130434782609,75.3,80.63913043478261,91.31739130434782,75.3,83.28260869565217,71.19130434782609,73.67391304347827,,0.0,0.0,,,,,8.421739130434784,280.96086956521737,1009.9347826086956,35.93913043478261,4.01304347826087,,,,,0.04869565217391304,41978099999.0,Chittagong,2007-11-11T06:02:14,2007-11-11T17:10:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-11-11 07:49:33.913043478,84.88695652173912,75.3,80.75869565217391,91.42608695652173,75.3,83.42391304347827,71.13695652173912,73.26086956521739,,0.0,0.0,,,,,9.182608695652174,286.34130434782605,1009.9021739130435,35.80869565217392,3.9695652173913043,,,,,0.05304347826086957,41978099999.0,Chittagong,2007-11-11T06:02:14,2007-11-11T17:10:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-11-11 10:26:05.217391304,85.08260869565217,75.3,80.87826086956522,91.53478260869565,75.3,83.56521739130434,71.08260869565217,72.84782608695652,,0.0,0.0,,,,,9.943478260869565,291.7217391304348,1009.8695652173914,35.67826086956522,3.926086956521739,,,,,0.057391304347826085,41978099999.0,Chittagong,2007-11-11T06:02:14,2007-11-11T17:10:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-11-11 13:02:36.521739130,85.27826086956522,75.3,80.99782608695652,91.64347826086956,75.3,83.70652173913044,71.02826086956522,72.43478260869566,,0.0,0.0,,,,,10.704347826086957,297.1021739130435,1009.8369565217391,35.547826086956526,3.882608695652174,,,,,0.0617391304347826,41978099999.0,Chittagong,2007-11-11T06:02:14,2007-11-11T17:10:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-11-11 15:39:07.826086956,85.47391304347826,75.3,81.11739130434783,91.75217391304348,75.3,83.84782608695652,70.97391304347826,72.02173913043478,,0.0,0.0,,,,,11.465217391304348,302.4826086956522,1009.804347826087,35.417391304347824,3.8391304347826085,,,,,0.06608695652173913,41978099999.0,Chittagong,2007-11-11T06:02:14,2007-11-11T17:10:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-11-11 18:15:39.130434782,85.6695652173913,75.3,81.23695652173913,91.86086956521739,75.3,83.98913043478261,70.9195652173913,71.60869565217392,,0.0,0.0,,,,,12.22608695652174,307.86304347826086,1009.7717391304349,35.28695652173913,3.7956521739130435,,,,,0.07043478260869565,41978099999.0,Chittagong,2007-11-11T06:02:14,2007-11-11T17:10:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-11-11 20:52:10.434782608,85.86521739130434,75.3,81.35652173913043,91.96956521739129,75.3,84.13043478260869,70.86521739130434,71.19565217391305,,0.0,0.0,,,,,12.986956521739131,313.24347826086955,1009.7391304347826,35.15652173913043,3.752173913043478,,,,,0.07478260869565218,41978099999.0,Chittagong,2007-11-11T06:02:14,2007-11-11T17:10:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-11-11 23:28:41.739130434,86.06086956521739,75.3,81.47608695652174,92.07826086956521,75.3,84.27173913043478,70.81086956521739,70.78260869565217,,0.0,0.0,,,,,13.747826086956522,318.62391304347824,1009.7065217391305,35.02608695652174,3.708695652173913,,,,,0.0791304347826087,41978099999.0,Chittagong,2007-11-11T06:02:14,2007-11-11T17:10:56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
